Rank (of 5692),School,Grades,District,# Students,"Student/
                            Teacher Ratio","Free/Disc Lunch
                            Recipients",Average Standard Score (2017),Rank (2016)
3322,Summerville Elementary,K-8,Summerville Elementary,403,23.7,48.6 %,36.8,2688
3323,LEAD Elementary,K-5,San Mateo-Foster City,493,22.4,66.5 %,36.8,2838
3324,Sunnyslope Elementary,K-5,Hollister,673,23.2,67.6 %,36.8,3360
3325,Dent Elementary,K-5,Escalon Unified,611,22.6,49.3 %,36.8,3312
3326,West Wind Elementary,K-5,Lancaster Elementary,861,28.7,56.5 %,36.8,2705
3327,Olivia Nieto Herrera Elementary,K-5,Long Beach Unified,955,28.9,83.3 %,36.8,3799
3328,Mt. Pleasant Elementary,K-5,Mount Pleasant Elementary,371,23.1,90.6 %,36.8,2946
3329,Dana Elementary,K-6,Lucia Mar Unified,584,23.3,67.3 %,36.7,3101
3330,Julian Elementary,K-5,Julian Union Elementary,213,21.3,63.4 %,36.7,2997
3331,Accelerated Charter Elementary,K-6,Los Angeles Unified,302,23.2,98.0 %,36.7,3602
3332,Joyner Elementary,K-5,San Diego Unified,686,23.6,95.6 %,36.6,2790
3333,Fifty-Fourth Street Elementary,K-5,Los Angeles Unified,325,23.2,87.1 %,36.6,3752
3334,Arena Elementary,K-8,Arena Union Elementary,257,15.1,69.7 %,36.6,3298
3335,Conway Elementary,K-5,Escondido Union,664,23.7,74.7 %,36.6,4355
3336,Creekside Elementary,K-6,Alisal Union,736,27.2,74.7 %,36.6,3882
3337,Hayfork Valley Elementary,K-8,Mountain Valley Unified,182,18.2,80.8 %,36.6,2352
3338,Central Elementary,K-5,Central Elementary,532,26.6,54.5 %,36.5,3065
3339,Crescent Elementary,K-5,Fairfield-Suisun Unified,642,24.6,59.4 %,36.5,2667
3340,Jackson Elementary,K-6,Fresno Unified,431,25.3,93.7 %,36.5,4191
3341,Indian Creek Elementary,K-4,Mother Lode Union Elementary,594,23.7,60.4 %,36.5,2957
3342,Rosecrans Elementary,K-5,Compton Unified,470,23.5,83.0 %,36.5,3096
3343,Tompkins Elementary,K-5,Tehachapi Unified,739,24.6,54.5 %,36.5,3558
3344,Sierra Vista Elementary,K-6,Val Verde Unified,"1,107",26.3,81.5 %,36.4,3336
3345,Madison Elementary,K-5,Los Angeles Unified,608,23.3,91.5 %,36.4,3062
3346,San Antonio Elementary,K-5,Alum Rock Union Elementary,441,23.2,85.9 %,36.4,3553
3347,Pinedale Elementary,K-6,Clovis Unified,515,25.7,90.9 %,36.4,2531
3348,Howard Pence Elementary,K-6,South Bay Union,701,25.9,76.0 %,36.4,4140
3349,Capistrano Elementary,K-6,Empire Union Elementary,523,24.9,91.4 %,36.3,3806
3350,Noble Avenue Elementary,K-5,Los Angeles Unified,891,22.8,91.0 %,36.3,3221
3351,El Granada Elementary,K-5,Cabrillo Unified,459,20.8,53.4 %,36.3,3427
3352,Harrison Elementary,K-8,Pomona Unified,378,25.2,88.9 %,36.2,3803
3353,Westside Elementary,K-6,Twin Rivers Unified,412,29.4,73.1 %,36.2,3104
3354,Valencia Park Elementary,K-5,San Diego Unified,517,23.5,93.8 %,36.2,3607
3355,Madison (James) Elementary,K-6,Anaheim Elementary,626,27.2,72.5 %,36.2,3281
3356,Miwok Valley Language Academy Charter,K-6,Old Adobe Union,387,22.7,69.8 %,36.1,3164
3357,Manuel A. Salinas Creative Arts Elementary,K-5,San Bernardino City Unified,565,26.9,94.5 %,36.1,3847
3358,Lincoln Elementary,K-5,Kings Canyon Joint Unified,351,27,94.6 %,36.1,3956
3359,Central Elementary,K-5,Banning Unified,754,25.1,88.1 %,36.1,3688
3360,Charles H. Lee Elementary,1-5,Azusa Unified,331,23.6,84.0 %,36.1,3583
3361,Wright Elementary,K-8,El Monte City,892,23.4,91.6 %,36.1,3370
3362,Commonwealth Elementary,K-6,Fullerton Elementary,381,22.4,81.9 %,36.1,3284
3363,Charles Bursch Elementary,K-6,Baldwin Park Unified,552,24,87.5 %,36.1,3579
3364,Susan B. Anthony Elementary,K-6,Fresno Unified,454,21.6,98.0 %,36.1,4334
3365,Greenwood Elementary,K-5,Montebello Unified,"1,007",24.5,83.9 %,36,3869
3366,Orange Glen Elementary,K-5,Escondido Union,774,23.4,73.0 %,36,3374
3367,Willow Glen Elementary,K-8,Visalia Unified,605,26.3,79.8 %,36,3352
3368,Jack Northrop Elementary,K-5,Lancaster Elementary,718,26.5,83.7 %,36,2858
3369,Della S. Lindley Elementary,K-5,Palm Springs Unified,649,24,86.4 %,36,3299
3370,Griffin Avenue Elementary,K-5,Los Angeles Unified,510,23.1,94.3 %,35.9,4425
3371,Soulsbyville Elementary,K-8,Soulsbyville Elementary,501,19.2,44.7 %,35.9,2964
3372,Mariposa Elementary,K-8,Mariposa County Unified,393,20.6,66.7 %,35.9,3368
3373,Olive Elementary,K-6,Orange Unified,461,32.9,56.6 %,35.9,3005
3374,Hannalei Elementary,K-5,Vista Unified,647,24.8,79.4 %,35.9,3616
3375,Accelerated Achievement Academy,4-12,Ukiah Unified,160,22.8,80.0 %,35.9,2230
3376,William Penn Elementary,K-5,Bakersfield City,296,22.7,89.9 %,35.9,3419
3377,Bertrand Avenue Elementary,K-5,Los Angeles Unified,422,23.4,84.4 %,35.8,3016
3378,Grand View Elementary,K-6,Dinuba Unified,354,29.5,79.4 %,35.8,3573
3379,Empire Springs Charter,K-12,Helendale Elementary,913,33.8,29.0 %,35.8,2717
3380,Father Keith B. Kenny,K-8,Sacramento City Unified,437,29.1,90.2 %,35.8,3519
3381,O. S. Hubbard Elementary,K-8,Alum Rock Union Elementary,525,23.8,92.8 %,35.8,3030
3382,Pioneer Elementary,K-5,Weaver Union,"1,077",24.4,82.4 %,35.8,3499
3383,Atwater Avenue Elementary,K-6,Los Angeles Unified,309,19.3,80.9 %,35.8,3224
3384,August Knodt Elementary,K-8,Manteca Unified,870,28,75.4 %,35.8,3596
3385,Bear River,4-8,Wheatland,566,17.6,46.3 %,35.8,3107
3386,Valentine Peyton Elementary,K-8,Stockton Unified,886,31.6,71.2 %,35.8,3540
3387,Palm Elementary,K-5,Beaumont Unified,669,25.7,73.8 %,35.8,3669
3388,Leroy Nichols Elementary,K-6,Lodi Unified,387,24.1,78.0 %,35.8,3687
3389,North Ranchito Elementary,K-5,El Rancho Unified,457,25.3,85.1 %,35.7,2936
3390,Crestwood Street Elementary,K-6,Los Angeles Unified,421,22.1,58.2 %,35.7,3156
3391,Shandon Elementary,K-8,Shandon Joint Unified,211,19.1,77.3 %,35.7,2515
3392,West Vernon Avenue Elementary,K-5,Los Angeles Unified,740,23.1,95.1 %,35.7,3506
3393,Addams Elementary,K-5,Long Beach Unified,928,27.2,94.5 %,35.7,4714
3394,Yermo Elementary,K-8,Silver Valley Unified,291,16.1,80.4 %,35.7,2436
3395,Laurel Creek Elementary,K-6,Fairfield-Suisun Unified,950,26.3,59.5 %,35.7,3529
3396,McKinley Elementary,K-5,Tracy Joint Unified,444,21.1,67.1 %,35.7,3279
3397,Horizon Elementary,K-5,Greenfield Union,821,24.1,88.2 %,35.7,3767
3398,Birney Elementary,K-5,Long Beach Unified,690,26.5,75.8 %,35.7,3403
3399,California Elementary,3-6,West Covina Unified,388,24.2,77.6 %,35.6,2710
3400,Euclid Elementary,K-5,San Diego Unified,508,22,97.8 %,35.6,3488
3401,Las Palmas,K-6,National Elementary,677,24.1,71.3 %,35.6,3355
3402,Creston Elementary,K-6,Atascadero Unified,92,23,56.5 %,35.6,
3403,Loma Vista Immersion Academy,K-6,Old Adobe Union,272,24.7,50.7 %,35.6,3796
3404,Apricot Valley Elementary,K-5,Patterson Joint Unified,793,24.7,63.2 %,35.6,3225
3405,Elmhurst Elementary,K-5,Ventura Unified,524,21.8,55.3 %,35.5,3275
3406,Maple Elementary,K-6,Fullerton Elementary,387,27.6,88.1 %,35.5,3625
3407,Fremont Elementary,3-5,Fowler Unified,462,25.6,72.7 %,35.5,2704
3408,A. J. Dorsa Elementary,K-5,Alum Rock Union Elementary,489,27.1,91.0 %,35.4,4066
3409,Brooks Elementary,4-5,Windsor Unified,459,24.1,35.7 %,35.4,3081
3410,Salida Elementary,K-5,Salida Union Elementary,366,26.1,87.4 %,35.4,3500
3411,River Oak Charter,K-8,Ukiah Unified,237,23.7,41.4 %,35.4,2764
3412,Thomas Jefferson Elementary,K-6,Bellflower Unified,607,24.2,86.7 %,35.4,3779
3413,Bandini Street Elementary,K-6,Los Angeles Unified,373,23.3,87.7 %,35.4,3627
3414,Selby Lane Elementary,K-8,Redwood City Elementary,679,21.9,71.1 %,35.4,2994
3415,Lucille Roybal-Allard Elementary,K-6,Los Angeles Unified,594,23.7,91.4 %,35.4,3672
3416,Howard Inghram Elementary,K-6,San Bernardino City Unified,361,27.7,97.8 %,35.4,3264
3417,Linton T. Simmons Elementary,K-6,Garden Grove Unified,457,26.8,90.8 %,35.3,3567
3418,Woodlawn Avenue Elementary,K-5,Los Angeles Unified,781,23.6,87.5 %,35.3,4857
3419,La Tercera Elementary,K-6,Old Adobe Union,351,25,48.4 %,35.3,3768
3420,Dwight D. Eisenhower Elementary,K-6,Garden Grove Unified,778,25.9,90.6 %,35.3,4483
3421,El Toro Elementary,K-5,Morgan Hill Unified,450,26.4,47.3 %,35.3,2903
3422,Meyler Street Elementary,K-5,Los Angeles Unified,786,23.1,83.6 %,35.3,3456
3423,Figarden Elementary,K-6,Fresno Unified,657,24.3,67.6 %,35.3,3967
3424,Alder Grove Charter,K-12,South Bay Union Elementary,379,17.2,67.8 %,35.2,3581
3425,Indianola Elementary,K-6,Selma Unified,501,23.8,74.7 %,35.2,3428
3426,Reseda Elementary,K-5,Los Angeles Unified,409,22.7,89.2 %,35.2,3662
3427,Price (Adelaide) Elementary,K-6,Anaheim Elementary,805,26.8,68.7 %,35.2,3238
3428,Meiners Oaks Elementary,K-6,Ojai Unified,292,24.3,59.9 %,35.2,2559
3429,Herrick Avenue Elementary,K-5,Los Angeles Unified,590,22.6,85.9 %,35.2,2702
3430,Foothill Oaks Elementary,K-6,Twin Rivers Unified,519,23.5,81.7 %,35.2,3187
3431,Innovations Academy,K-8,San Diego Unified,354,20.8,23.2 %,35.2,2847
3432,Carver Elementary,K-5,San Diego Unified,250,22.7,91.6 %,35.2,3839
3433,M. Robert Adkison Elementary,K-6,Ceres Unified,683,23.5,89.6 %,35.1,4460
3434,Mammoth Elementary,K-5,Mammoth Unified,576,22.1,61.3 %,35.1,2435
3435,Johnson Elementary,K-5,San Diego Unified,389,25.9,87.7 %,35.1,3910
3436,Malcolm X Academy,K-5,San Francisco Unified,85,14.1,90.6 %,35.1,4217
3437,Joshua Cowell Elementary,K-8,Manteca Unified,577,25,57.5 %,35,3858
3438,Coldwater Canyon Elementary,K-5,Los Angeles Unified,781,23.6,92.6 %,35,3578
3439,McKinley Elementary,K-6,El Centro Elementary,411,25.6,90.0 %,35,4264
3440,Fishburn Avenue Elementary,K-5,Los Angeles Unified,538,22.4,90.0 %,35,4901
3441,Oasis Elementary,K-6,Morongo Unified,572,24.8,69.4 %,35,3032
3442,Grapevine Elementary,K-5,Vista Unified,657,22.6,85.8 %,35,3988
3443,Jefferson Elementary,K-6,Fresno Unified,481,24,96.7 %,35,3811
3444,Highland Elementary,K-6,Inglewood Unified,708,26.2,70.6 %,34.9,3100
3445,Kawana Springs Elementary,K-6,Bellevue Union,405,22.5,79.8 %,34.9,3757
3446,Selma Herndon Elementary,K-5,Livingston Union,650,23.2,84.6 %,34.9,3598
3447,Oneonta Elementary,K-6,South Bay Union,551,26.2,78.8 %,34.9,3190
3448,Ramon S. Tafoya Elementary,K-6,Woodland Joint Unified,818,26.3,69.4 %,34.9,3076
3449,Del Rey Elementary,K-6,Sanger Unified,260,20,95.8 %,34.8,4108
3450,Lincoln Elementary,K-5,Lynwood Unified,548,26,94.0 %,34.8,4075
3451,Bryant Elementary,K-6,Garden Grove Unified,729,26,82.4 %,34.8,3256
3452,Pinewood Avenue Elementary,K-5,Los Angeles Unified,289,20.6,90.3 %,34.8,3291
3453,Peter J. Shields Elementary,K-5,Folsom-Cordova Unified,387,25.8,84.2 %,34.8,3648
3454,Antioch Charter Academy II,K-8,Antioch Unified,198,19.8,34.9 %,34.8,2810
3455,Webster Elementary,K-6,San Diego Unified,325,25,91.1 %,34.8,2664
3456,Jenny Oropeza Elementary,K-5,Long Beach Unified,835,27.8,82.5 %,34.8,4117
3457,Extera Public,K-8,Los Angeles Unified,519,23.5,85.9 %,34.8,3380
3458,Lakewood Elementary,K-5,Sunnyvale,439,21.9,61.7 %,34.7,3649
3459,Paragon Collegiate Academy,K-8,Marysville Joint Unified,166,18.4,65.7 %,34.7,3722
3460,John L. Prueitt Elementary,K-6,Wasco Union Elementary,837,23.2,84.8 %,34.7,3897
3461,Crescent Heights Boulevard Elementary,K-5,Los Angeles Unified,383,22.5,90.6 %,34.7,3367
3462,Fortune,K-8,Sacramento County Office Of Education,"1,195",22.9,82.3 %,34.7,3968
3463,Robinson Academy,K-8,Long Beach Unified,954,25.7,93.8 %,34.7,3846
3464,Westwood Elementary,K-5,Mt. Diablo Unified,341,20,44.0 %,34.6,3143
3465,Sunshine Gardens Elementary,K-5,South San Francisco Unified,402,22.3,52.0 %,34.6,2697
3466,William M. Metteer Elementary,K-5,Red Bluff Union Elementary,507,23,80.3 %,34.6,3444
3467,Lorin A. Eden Elementary,K-6,Hayward Unified,491,24.5,66.0 %,34.6,3864
3468,Ninety-Sixth Street Elementary,K-6,Los Angeles Unified,812,23.8,94.3 %,34.6,3631
3469,John J. Doyle Elementary,K-6,Porterville Unified,684,25.3,95.9 %,34.6,4428
3470,Coarsegold Elementary,K-8,Yosemite Unified,430,18.6,59.8 %,34.6,2959
3471,West Street Elementary,K-6,Corning Union Elementary,350,21.8,82.0 %,34.6,4593
3472,Reche Canyon Elementary,K-6,Colton Joint Unified,595,22,71.9 %,34.6,3730
3473,Victory Boulevard Elementary,K-5,Los Angeles Unified,557,24.2,90.3 %,34.6,4069
3474,Rancho de la Nacion,K-6,National Elementary,441,22,82.5 %,34.5,4000
3475,Carmichael (Bessie)/FEC,K-8,San Francisco Unified,612,19.1,81.2 %,34.5,3350
3476,Vang Pao Elementary,K-6,Fresno Unified,850,25,95.8 %,34.5,4213
3477,Louis J. Villalovoz Elementary,K-5,Tracy Joint Unified,559,22.3,61.2 %,34.5,3813
3478,Alisal Community,K-6,Alisal Union,782,26,94.4 %,34.5,4432
3479,San Pedro Street Elementary,K-5,Los Angeles Unified,713,23.7,95.5 %,34.5,3340
3480,Frank del Olmo Elementary,K-6,Los Angeles Unified,758,23.6,91.4 %,34.5,4891
3481,Furgeson (Venn W.) Elementary,K-6,ABC Unified,410,24.1,96.6 %,34.4,2883
3482,New Haven Elementary,K-8,Manteca Unified,594,25.8,48.7 %,34.4,3341
3483,Myrtle Avenue Elementary,4-8,Lamont Elementary,512,25.6,93.2 %,34.4,4309
3484,Anderson Valley Elementary,K-6,Anderson Valley Unified,278,21.3,84.2 %,34.4,3765
3485,Collins Elementary,K-6,West Contra Costa Unified,359,22.4,57.1 %,34.4,3326
3486,Mayo Elementary,K-5,Compton Unified,640,24.6,84.8 %,34.4,3707
3487,Grandview College Preparatory Academy,K-8,Hacienda La Puente Unified,621,23.8,88.6 %,34.4,2434
3488,Reynolds Elementary,K-5,Oceanside Unified,630,24.2,74.0 %,34.4,3436
3489,Westport Heights Elementary,K-5,Los Angeles Unified,363,24.2,62.5 %,34.4,3745
3490,Edison-Bethune Charter Academy,K-6,Fresno County Office Of Education,553,20.4,95.3 %,34.4,3787
3491,Nipomo Elementary,K-6,Lucia Mar Unified,468,23.4,75.0 %,34.4,3762
3492,Collett Elementary,K-5,Alvord Unified,614,22.7,84.9 %,34.4,3884
3493,Harvest Elementary,K-6,Central Unified,680,28.3,71.8 %,34.3,3450
3494,Poplar Elementary,K-6,Fontana Unified,679,24.2,89.1 %,34.3,3655
3495,Andros Karperos,K-8,Yuba City Unified,"1,273",20.8,77.8 %,34.3,3908
3496,Kwis Elementary,K-5,Hacienda La Puente Unified,337,25.9,87.8 %,34.3,2871
3497,Vineland Elementary,K-6,Baldwin Park Unified,786,26.2,89.3 %,34.3,3619
3498,Pacheco Elementary,4-8,Pacheco Union Elementary,294,21,60.2 %,34.3,2823
3499,Megan Cope Elementary,K-5,San Jacinto Unified,836,25.3,70.5 %,34.3,2925
3500,Harvest Elementary,K-5,Delano Union Elementary,535,25.4,71.6 %,34.2,3785
3501,Bear Valley Elementary,K-5,Moreno Valley Unified,878,29.2,79.6 %,34.2,4528
3502,Logan K-8,K-8,San Diego Unified,623,23.9,95.8 %,34.2,3739
3503,Birdielee V. Bright Elementary,K-5,Los Angeles Unified,728,24.2,91.5 %,34.2,3883
3504,Para Los Ni?os Charter,K-5,Los Angeles Unified,378,22.2,95.0 %,34.2,4963
3505,Watsonville Charter School of the Arts,K-8,Pajaro Valley Unified,318,22.7,64.5 %,34.1,3987
3506,Rio Rosales,K-5,Rio Elementary,539,23.4,72.0 %,34.1,3420
3507,Don Riggio,K-8,Lincoln Unified,651,23.2,62.4 %,34.1,2756
3508,Louisiana Schnell Elementary,K-5,Placerville Union Elementary,428,23.7,65.2 %,34.1,2721
3509,Birney Technical Academy,K-5,El Rancho Unified,472,26.2,74.4 %,34.1,4444
3510,George Cirby Elementary,K-5,Roseville City Elementary,388,22.8,73.2 %,34.1,2524
3511,John Fremont Elementary,K-6,Modesto City Elementary,562,22.4,64.8 %,34,3366
3512,Helen L. Dollahan Elementary,K-5,Rialto Unified,718,29.9,82.9 %,34,4017
3513,Washington Elementary,K-5,Montebello Unified,963,27.5,88.1 %,34,3577
3514,Palm Avenue Elementary,K-6,San Bernardino City Unified,693,27.7,65.2 %,34,2700
3515,Valley Preparatory Academy Charter,K-8,Fresno Unified,359,19.9,80.5 %,34,3168
3516,Pacific View Leadership Elementary,K-5,San Diego Unified,308,22,84.1 %,34,3202
3517,Lee Vining Elementary,K-8,Eastern Sierra Unified,94,15.6,48.9 %,34,3924
3518,Garvanza Elementary,K-6,Los Angeles Unified,375,23.4,88.0 %,33.9,2953
3519,Victor Elementary,K-6,Lodi Unified,165,20.6,84.2 %,33.9,3950
3520,Niemes (John H.) Elementary,K-6,ABC Unified,715,27.5,75.2 %,33.9,2801
3521,Oxnard Street Elementary,K-5,Los Angeles Unified,452,22.6,89.2 %,33.9,3859
3522,Stella Brockman Elementary,K-8,Manteca Unified,803,25,53.1 %,33.9,3513
3523,Jeane Thorman Elementary,K-5,Tustin Unified,572,30.1,95.5 %,33.8,3940
3524,Twin Lakes Elementary,K-6,Mountain View Elementary,435,25.5,89.0 %,33.8,3763
3525,Milk (Harvey) Civil Rights Elementary,K-5,San Francisco Unified,238,19.8,42.9 %,33.8,2566
3526,La Presa Elementary,K-6,La Mesa-Spring Valley,401,28.6,86.8 %,33.8,3484
3527,Ruby Bridges Elementary,K-5,Alameda Unified,535,22.2,62.8 %,33.8,3801
3528,Columbia Elementary,K-8,El Monte City,871,21.7,92.2 %,33.8,3214
3529,Morris Elementary,3-5,McKinleyville Union Elementary,370,23.1,54.1 %,33.8,3369
3530,Gold Rush Charter,K-12,Summerville Union High,339,17.8,38.9 %,33.8,3938
3531,Sky Country Elementary,K-6,Jurupa Unified,770,25.6,65.5 %,33.8,3605
3532,Phil D. Swing Elementary,K-6,Brawley Elementary,910,28.4,83.1 %,33.8,3778
3533,Thirty-Second Street USC Performing Arts,K-12,Los Angeles Unified,"1,050",26.2,89.0 %,33.7,3395
3534,Onaga Elementary,K-6,Morongo Unified,646,24.8,66.4 %,33.7,2397
3535,Tracy Elementary,K-6,Baldwin Park Unified,780,24.3,88.6 %,33.7,3689
3536,Linda Vista Elementary,K-6,Saddleback Valley Unified,371,24.7,80.6 %,33.7,3333
3537,Valleydale Elementary,K-5,Azusa Unified,308,23.6,88.6 %,33.7,3907
3538,Newman Elementary,K-6,Chino Valley Unified,651,26,76.0 %,33.7,4668
3539,San Miguel Elementary,K-5,Sunnyvale,388,22.8,73.7 %,33.7,3628
3540,Sherman Thomas Charter,K-8,Madera Unified,206,22.8,47.6 %,33.7,2488
3541,Hawthorne Elementary,K-6,Ontario-Montclair,797,25.7,79.1 %,33.7,4578
3542,George Visual and Performing Arts Magnet and Middle,K-8,Adelanto Elementary,704,26,88.6 %,33.7,3396
3543,James A. Whitaker Elementary,K-6,Buena Park Elementary,549,23.8,88.5 %,33.7,3461
3544,Rocky Point Charter,K-8,Gateway Unified,182,20.2,56.6 %,33.7,2819
3545,Los Altos Elementary,K-6,Chula Vista Elementary,370,19.4,77.3 %,33.6,4088
3546,Dolores Street Elementary,K-5,Los Angeles Unified,598,24.9,75.4 %,33.6,3691
3547,Kratt Elementary,K-6,Fresno Unified,556,23.1,78.6 %,33.6,2902
3548,Juan Lagunas Soria Elementary,K-8,Oxnard,"1,036",25.9,62.4 %,33.6,3879
3549,Almaden Elementary,K-5,San Jose Unified,368,24.5,79.4 %,33.6,3381
3550,Santa Monica Boulevard Community Charter,K-6,Los Angeles Unified,937,22.8,97.6 %,33.6,3412
3551,Wilcox Elementary,K-5,Montebello Unified,647,29.4,89.6 %,33.6,3463
3552,Celerity Nascent Charter,K-8,Los Angeles Unified,583,22.4,92.1 %,33.5,2022
3553,Cuddeback Elementary,K-8,Cuddeback Union Elementary,120,20,45.8 %,33.5,4143
3554,Orchard Elementary,K-8,Twin Rivers Unified,543,24.6,72.9 %,33.5,4096
3555,Roosevelt Elementary,K-6,Dinuba Unified,679,26.1,73.2 %,33.5,3855
3556,Jackson Street Elementary,4-8,Yreka Union Elementary,519,18.5,64.2 %,33.5,3160
3557,Lampson Elementary,K-5,Orange Unified,842,26.3,82.8 %,33.5,3501
3558,Lincoln Elementary,K-6,El Centro Elementary,368,26.2,94.6 %,33.5,3494
3559,Garden Elementary,K-6,Tulare City,715,24.6,69.8 %,33.5,3078
3560,Bradford Woodbridge Fundamental Elementary,K-5,Roseville City Elementary,346,19.2,72.0 %,33.4,3808
3561,Kimball,K-6,National Elementary,395,23.2,78.0 %,33.4,3148
3562,Jurupa Vista Elementary,K-6,Colton Joint Unified,592,24.6,71.6 %,33.4,3698
3563,Arbuckle Elementary,K-5,Pierce Joint Unified,627,23.2,70.7 %,33.4,3080
3564,Paradise Elementary,K-5,Paradise Unified,572,22,64.9 %,33.4,3761
3565,Taylor Mountain Elementary,K-6,Bellevue Union,536,25.5,84.9 %,33.4,4376
3566,Tenderloin Community,K-5,San Francisco Unified,332,19.5,75.3 %,33.4,4133
3567,Foothill Elementary,K-5,Pittsburg Unified,536,19.8,75.0 %,33.4,3128
3568,Vermont Avenue Elementary,K-5,Los Angeles Unified,658,23.5,93.9 %,33.4,2927
3569,Edison Elementary,K-5,Long Beach Unified,730,26,88.1 %,33.4,5043
3570,Stanley Mosk Elementary,K-5,Los Angeles Unified,541,22.5,81.9 %,33.4,4054
3571,Daniel Webster Elementary,K-6,Jefferson Elementary,478,25.1,63.6 %,33.3,2788
3572,Pine Grove Elementary,K-5,Del Norte County Unified,296,24.6,72.6 %,33.3,4099
3573,Tara Hills Elementary,K-6,West Contra Costa Unified,492,20.5,69.3 %,33.3,2973
3574,Nelson Elementary,K-6,Hacienda La Puente Unified,369,23,91.9 %,33.3,3321
3575,Lincoln Acres,K-6,National Elementary,603,22.3,74.0 %,33.3,3262
3576,Golden Hill K-8,K-8,San Diego Unified,411,19.5,89.1 %,33.3,3546
3577,Central Elementary,K-8,Central Union Elementary,288,19.2,59.4 %,33.3,3073
3578,Annie Pennycook Elementary,K-5,Vallejo City Unified,600,26,64.8 %,33.3,4123
3579,Blue Lake Elementary,K-8,Blue Lake Union Elementary,175,21.8,63.4 %,33.3,3318
3580,Yorbita Elementary,K-6,Rowland Unified,477,22.7,91.4 %,33.3,3473
